,ev_available
0,1
1,1
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,0
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,0
287,0
