Element, Nterminals, Nconductors, P_1, Q_1, ...,,,,,,,,,,,,,,,,,
Vsource.source,2,3,-2053.62,-472.946,-2059.86,-474.605,-2048.5,-471.918,0,0,0,0,0,0,,,,,,,583.60903,127.9405
Transformer.tr(r:p1udt1-p1udt1lv),2,4,27.514,5.80701,27.514,5.80708,27.5141,5.80702,0,0,-27.0475,-5.51261,-27.0476,-5.51263,-27.0476,-5.51263,0,0,,,,
Transformer.tr(r:p1udt2-p1udt2lv),3,2,19.1249,3.94029,0,0,-9.44888,-1.91755,0,0,0,0,-9.44886,-1.91756,,,,,,,,
Transformer.tr(r:p1udt61-p1udt61lv),2,4,103.761,22.9357,103.761,22.9362,103.761,22.9357,0,0,-102.563,-21.0532,-102.563,-21.0533,-102.563,-21.0533,0,0,,,,
Transformer.tr(r:p1udt62-p1udt62lv),2,4,24.4715,5.29708,24.4715,5.29714,24.4716,5.29699,0,0,-23.9501,-4.87823,-23.9501,-4.87825,-23.9501,-4.87825,0,0,,,,
Transformer.tr(r:p1udt104-p1udt104lv),3,2,21.94,4.54524,0,0,-10.8502,-2.20341,0,0,0,0,-10.8502,-2.20343,,,,,,,,
Transformer.tr(r:p1udt175-p1udt175lv),2,4,69.7754,15.5272,69.7756,15.5276,69.7755,15.5267,0,0,-68.892,-14.2038,-68.8921,-14.204,-68.8921,-14.2039,0,0,,,,
Transformer.tr(r:p1udt201-p1udt201lv),2,4,44.7923,9.88245,44.7925,9.88265,44.7924,9.8821,0,0,-44.0917,-9.09912,-44.0919,-9.09923,-44.0918,-9.09915,0,0,,,,
Transformer.tr(r:p1udt228-p1udt228lv),2,4,101.428,22.6333,101.429,22.6337,101.429,22.6328,0,0,-100.253,-20.8439,-100.253,-20.8441,-100.253,-20.8439,0,0,,,,
Transformer.tr(r:p1udt258-p1udt258lv),2,4,20.9471,4.47322,20.9471,4.47329,20.9471,4.47324,0,0,-20.4964,-4.16512,-20.4964,-4.16513,-20.4965,-4.16513,0,0,,,,
Transformer.tr(r:p1udt259-p1udt259lv),2,4,23.8658,5.15402,23.8658,5.15412,23.8658,5.15406,0,0,-23.3573,-4.75364,-23.3573,-4.75364,-23.3573,-4.75365,0,0,,,,
Transformer.tr(r:p1udt260-p1udt260lv),3,2,17.0933,3.51222,0,0,-8.43776,-1.71369,0,0,0,0,-8.43772,-1.71371,,,,,,,,
Transformer.tr(r:p1udt454-p1udt454lv),2,4,100.037,22.4108,100.038,22.4114,100.038,22.41,0,0,-98.8764,-20.6561,-98.8768,-20.6564,-98.8766,-20.6561,0,0,,,,
Transformer.tr(r:p1udt471-p1udt471lv),3,2,8.85873,1.82197,0,0,-4.36153,-0.888185,0,0,0,0,-4.36149,-0.888205,,,,,,,,
Line.l(r:p1udt2lv-p1ulv3),2,2,9.44888,1.91755,9.44886,1.91756,-9.44018,-1.91691,-9.44018,-1.91691,,,,,,,,,,,,
Line.l(r:p1udt104lv-p1ulv281),2,2,5.70015,1.15756,5.70013,1.15757,-5.6951,-1.15644,-5.6951,-1.15644,,,,,,,,,,,,
Line.l(r:p1udt104lv-p1ulv1901),2,2,5.15006,1.04585,5.15004,1.04586,-5.14509,-1.04476,-5.14509,-1.04476,,,,,,,,,,,,
Line.l(r:p1udt260lv-p1ulv649),2,2,8.43776,1.71369,8.43772,1.71371,-8.4202,-1.70979,-8.4202,-1.70979,,,,,,,,,,,,
Line.l(r:p1udt471lv-p1ulv1969),2,2,4.36153,0.888185,4.36149,0.888205,-4.35009,-0.885597,-4.35009,-0.885597,,,,,,,,,,,,
Line.l(r:p1udt104-p1udt2),2,1,19.1251,3.93526,-19.1249,-3.94029,,,,,,,,,,,,,,,,
Line.l(r:p1udt201-p1udt471),2,1,8.85881,1.6425,-8.85873,-1.8219,,,,,,,,,,,,,,,,
Line.l(r:p1umv10-p1umv5),2,3,514.705,107.233,523.565,108.92,514.674,107.234,-514.297,-107.87,-523.157,-109.517,-514.295,-107.868,,,,,,,,
Line.l(r:p1udt62-p1umv10),2,3,1149.86,236.473,1158.72,238.219,1149.78,236.476,-1148.5,-235.956,-1157.36,-237.643,-1148.47,-235.957,,,,,,,,
Line.l(r:p1udt259-p1udt260),2,3,279.943,56.8768,279.944,56.8767,297.038,60.3909,-279.936,-56.8698,-279.937,-56.8699,-297.03,-60.3822,,,,,,,,
Line.l(r:p1udt258-p1udt259),2,3,303.827,62.0525,303.83,62.0518,320.926,65.5712,-303.808,-62.0308,-303.809,-62.0308,-320.904,-65.545,,,,,,,,
Line.l(r:p1udt258-p1umv9),2,3,324.842,66.6075,324.849,66.6048,341.953,70.1413,-324.776,-66.5275,-324.778,-66.5269,-341.875,-70.0464,,,,,,,,
Line.l(r:p1udt61-p1umv9),2,3,615.87,126.253,615.888,126.247,633.007,129.82,-615.593,-125.85,-615.601,-125.847,-632.705,-129.384,,,,,,,,
Line.l(r:p1udt61-p1udt62),2,3,720.586,150.601,720.637,150.582,737.798,154.261,-719.638,-149.197,-719.657,-149.19,-736.776,-152.763,,,,,,,,
Line.l(r:p1udt228-p1udt62),2,3,1897.05,395.601,1906.01,397.364,1914.23,399.346,-1894.95,-392.407,-1903.86,-394.135,-1912.09,-396.071,,,,,,,,
