System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =    50005.9068 + j -50009.42479
[   2,   1] =  -1.665596444 + j  2.156684114
[   3,   1] =  -1.665596444 + j  2.156684114
[  69,   1] =  -5.906800384 + j  9.424790189
[  70,   1] =   1.665596444 + j -2.156684201
[  71,   1] =   1.665596444 + j -2.156684201
[   2,   2] =    50005.9068 + j -50009.42479
[   3,   2] =  -1.665596444 + j  2.156684114
[  69,   2] =   1.665596444 + j -2.156684201
[  70,   2] =  -5.906800384 + j  9.424790189
[  71,   2] =   1.665596444 + j -2.156684201
[   3,   3] =    50005.9068 + j -50009.42479
[  69,   3] =   1.665596444 + j -2.156684201
[  70,   3] =   1.665596444 + j -2.156684201
[  71,   3] =  -5.906800384 + j  9.424790189
[   4,   4] =   9.234159553 + j -14.71623879
[   5,   4] =  -2.600253404 + j  3.366917215
[   6,   4] =  -2.600253404 + j  3.366917215
[  90,   4] =  -9.221428072 + j  14.71355373
[  91,   4] =   2.600253404 + j -3.366917271
[  92,   4] =   2.600253404 + j -3.366917271
[   5,   5] =   9.234159553 + j -14.71623879
[   6,   5] =  -2.600253404 + j  3.366917215
[  90,   5] =   2.600253404 + j -3.366917271
[  91,   5] =  -9.221428072 + j  14.71355373
[  92,   5] =   2.600253404 + j -3.366917271
[   6,   6] =   9.234159553 + j -14.71623879
[  90,   6] =   2.600253404 + j -3.366917271
[  91,   6] =   2.600253404 + j -3.366917271
[  92,   6] =  -9.221428072 + j  14.71355373
[   7,   7] =   18.37037581 + j -13.45511347
[  34,   7] =  -18.36742828 + j  13.45451167
[   8,   8] =   502.5356092 + j -503.9797397
[   9,   8] = -0.7014434204 + j 0.9082581826
[  10,   8] = -0.7014434204 + j 0.9082581826
[  55,   8] =          -500 + j          500
[  61,   8] =  -2.487569111 + j  3.969122947
[  62,   8] =  0.7014434204 + j-0.9082583887
[  63,   8] =  0.7014434204 + j-0.9082583887
[   9,   9] =   502.5356092 + j -503.9797397
[  10,   9] = -0.7014434204 + j 0.9082581826
[  56,   9] =          -500 + j          500
[  61,   9] =  0.7014434204 + j-0.9082583887
[  62,   9] =  -2.487569111 + j  3.969122947
[  63,   9] =  0.7014434204 + j-0.9082583887
[  10,  10] =   502.5356092 + j -503.9797397
[  57,  10] =          -500 + j          500
[  61,  10] =  0.7014434204 + j-0.9082583887
[  62,  10] =  0.7014434204 + j-0.9082583887
[  63,  10] =  -2.487569111 + j  3.969122947
[  11,  11] =   1007.895403 + j -1012.582151
[  12,  11] =  -2.223147535 + j  2.878624696
[  13,  11] =  -2.223147535 + j  2.878624696
[  43,  11] =          -500 + j          500
[  61,  11] =          -500 + j          500
[  64,  11] =  -7.884075859 + j  12.57969729
[  65,  11] =   2.223147535 + j -2.878624761
[  66,  11] =   2.223147535 + j -2.878624761
[  12,  12] =   1007.895403 + j -1012.582151
[  13,  12] =  -2.223147535 + j  2.878624696
[  44,  12] =          -500 + j          500
[  62,  12] =          -500 + j          500
[  64,  12] =   2.223147535 + j -2.878624761
[  65,  12] =  -7.884075859 + j  12.57969729
[  66,  12] =   2.223147535 + j -2.878624761
[  13,  13] =   1007.895403 + j -1012.582151
[  45,  13] =          -500 + j          500
[  63,  13] =          -500 + j          500
[  64,  13] =   2.223147535 + j -2.878624761
[  65,  13] =   2.223147535 + j -2.878624761
[  66,  13] =  -7.884075859 + j  12.57969729
[  14,  14] =   21.79647281 + j -34.77338122
[  21,  14] =  -21.14128963 + j  33.73268202
[  22,  14] =   5.961409653 + j  -7.71908349
[  23,  14] =   5.961409653 + j  -7.71908349
[  67,  14] =  -6.145204873 + j  7.957068447
[  68,  14] =  -6.145204873 + j  7.957068447
[ 100,  14] = -0.6518035532 + j  1.040006659
[ 101,  14] =  0.1837952207 + j-0.2379857679
[ 102,  14] =  0.1837952207 + j-0.2379857679
[  15,  15] =   500.0322994 + j -500.0071914
[  16,  15] =             0 + j-6.283185307E-12
[  17,  15] =             0 + j-6.283185307E-12
[  75,  15] =          -500 + j          500
[  16,  16] =   500.0322994 + j -500.0071914
[  17,  16] =             0 + j-6.283185307E-12
[  76,  16] =          -500 + j          500
[  17,  17] =   500.0322994 + j -500.0071914
[  77,  17] =          -500 + j          500
[  18,  18] =   1000.020741 + j -1000.004568
[  19,  18] =             0 + j-1.256637061E-11
[  20,  18] =             0 + j-1.256637061E-11
[  78,  18] =          -500 + j          500
[  87,  18] =          -500 + j          500
[  19,  19] =   501000.0207 + j -501000.0046
[  20,  19] =             0 + j-1.256637061E-11
[  79,  19] =          -500 + j          500
[  88,  19] =          -500 + j          500
[  93,  19] =       -500000 + j       500000
[  20,  20] =   1000.020741 + j -1000.004568
[  80,  20] =          -500 + j          500
[  89,  20] =          -500 + j          500
[  21,  21] =   500021.1882 + j -500033.7432
[  22,  21] =  -5.961409653 + j  7.719083466
[  23,  21] =  -5.961409653 + j  7.719083466
[  64,  21] =       -500000 + j       500000
[  67,  21] =   5.961409653 + j  -7.71908349
[  68,  21] =   5.961409653 + j  -7.71908349
[  22,  22] =   500021.1882 + j -500033.7432
[  23,  22] =  -5.961409653 + j  7.719083466
[  65,  22] =       -500000 + j       500000
[  67,  22] =  -21.14128963 + j  33.73268202
[  68,  22] =   5.961409653 + j  -7.71908349
[  23,  23] =   500021.1882 + j -500033.7432
[  66,  23] =       -500000 + j       500000
[  67,  23] =   5.961409653 + j  -7.71908349
[  68,  23] =  -21.14128963 + j  33.73268202
[  24,  24] =   507.1118104 + j  -511.334088
[  25,  24] =  -2.002651761 + j  2.593117503
[  26,  24] =  -2.002651761 + j  2.593117503
[  49,  24] =          -500 + j          500
[  52,  24] =  -7.102119024 + j  11.33202027
[  53,  24] =   2.002651761 + j -2.593117575
[  54,  24] =   2.002651761 + j -2.593117575
[  25,  25] =   507.1118104 + j  -511.334088
[  26,  25] =  -2.002651761 + j  2.593117503
[  50,  25] =          -500 + j          500
[  52,  25] =   2.002651761 + j -2.593117575
[  53,  25] =  -7.102119024 + j  11.33202027
[  54,  25] =   2.002651761 + j -2.593117575
[  26,  26] =   507.1118104 + j  -511.334088
[  51,  26] =          -500 + j          500
[  52,  26] =   2.002651761 + j -2.593117575
[  53,  26] =   2.002651761 + j -2.593117575
[  54,  26] =  -7.102119024 + j  11.33202027
[  27,  27] =   21.92314853 + j -34.96496449
[  28,  27] =  -6.178762112 + j  8.000520556
[  29,  27] =  -6.178762112 + j  8.000520556
[  49,  27] =  -21.91209915 + j  34.96257257
[  50,  27] =   6.178762112 + j -8.000520579
[  51,  27] =   6.178762112 + j -8.000520579
[  28,  28] =   21.92314853 + j -34.96496449
[  29,  28] =  -6.178762112 + j  8.000520556
[  49,  28] =   6.178762112 + j -8.000520579
[  50,  28] =  -21.91209915 + j  34.96257257
[  51,  28] =   6.178762112 + j -8.000520579
[  29,  29] =   21.92314853 + j -34.96496449
[  49,  29] =   6.178762112 + j -8.000520579
[  50,  29] =   6.178762112 + j -8.000520579
[  51,  29] =  -21.91209915 + j  34.96257257
[  30,  30] =   500.0463117 + j -500.0103704
[  31,  30] =             0 + j-6.283185307E-12
[  32,  30] =             0 + j-6.283185307E-12
[  81,  30] =          -500 + j          500
